Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ATICO CEN:Zone Mean Air Temperature [C](Hourly),ATICO E:Zone Mean Air Temperature [C](Hourly),MODULO:Zone Mean Air Temperature [C](Hourly),ATICO O:Zone Mean Air Temperature [C](Hourly),ATICO CEN:Zone Air System Sensible Heating Energy [J](Hourly),ATICO E:Zone Air System Sensible Heating Energy [J](Hourly),MODULO:Zone Air System Sensible Heating Energy [J](Hourly),ATICO O:Zone Air System Sensible Heating Energy [J](Hourly) 
 11/18  18:00:00,12.787499999999998,11.14768794368511,11.846704144268854,12.399999855325742,11.56504002626034,0.0,0.0,132783.54714401638,0.0 
 11/18  19:00:00,9.45,8.671350411534993,8.73933053585316,12.399999994120762,8.492222340209116,0.0,0.0,323856.93303410397,0.0 
 11/18  20:00:00,7.1,6.842297642853878,6.346098514299319,12.400338270322758,6.105057186453376,0.0,0.0,465127.72861364696,0.0 
 11/18  21:00:00,5.687499999999999,5.951622281442666,4.9899626103965268,12.400405407318646,4.7652626074093089,0.0,0.0,553192.045942065,0.0 
 11/18  22:00:00,3.5125,5.009594495823248,3.612169918954724,12.400000041362463,3.4051176016583346,0.0,0.0,642796.9115491861,0.0 
 11/18  23:00:00,1.6875000000000003,4.052260007805009,2.215647663648393,12.400000000000045,2.026421815104465,0.0,0.0,731827.1410843113,0.0 
 11/18  24:00:00,1.7625000000000002,3.7639957694648307,1.601993237331376,12.400000000000013,1.4252553054282556,0.0,0.0,775991.1417514166,0.0 
 11/19  01:00:00,1.0375,3.322215302984451,1.0835735514092402,12.400563194949836,0.9166206920085642,0.0,0.0,793717.3385306207,0.0 
 11/19  02:00:00,-0.7875,2.3083680230126948,-0.3438635611445772,12.400000110594223,-0.5043830862003094,0.0,0.0,880059.7126773998,0.0 
 11/19  03:00:00,-2.8125,1.4862573063866483,-1.563659242816129,12.400402833198698,-1.7093427020285952,0.0,0.0,1001846.1085405989,0.0 
 11/19  04:00:00,-3.475,0.9537077157680836,-2.4709633378653388,12.400000000341287,-2.605571678358225,0.0,0.0,1099096.3438913292,0.0 
 11/19  05:00:00,-4.5249999999999999,0.532053951034851,-3.099853772990958,12.400359835876638,-3.225962641792046,0.0,0.0,1185765.8196200468,0.0 
 11/19  06:00:00,-5.3875,7.952471181836179,4.357208917404641,12.399628384449767,5.514897710817346,0.0,0.0,951608.5252734977,0.0 
 11/19  07:00:00,-2.3125,17.398080701167385,13.17222941499692,12.399535454640237,15.423812369761122,0.0,0.0,506875.2750075861,0.0 
 11/19  08:00:00,3.9125,27.204417212785413,24.440412661099694,12.39856079012186,27.210715630300944,0.0,0.0,89995.86579563808,0.0 
 11/19  09:00:00,9.8125,34.82292592919677,34.278133581917078,12.397619211226543,37.13593489512879,0.0,0.0,0.0,0.0 
