"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20486630, LBL: Pared sur)","Temp, °C (SEN S/N: 20486630, LBL: Pared oeste)","Temp, °C (SEN S/N: 20486630, LBL: Pared norte)","Temp1 Max, °C","Temp1 Min, °C"
12/23/20 09:30:00,15.429,7.763,9.711,,
12/23/20 09:45:00,14.937,7.874,9.757,,
12/23/20 10:00:00,14.685,8.012,9.967,17.168,16.399
12/23/20 10:15:00,14.794,8.330,10.342,,
12/23/20 10:30:00,14.839,8.615,10.597,,
12/23/20 10:45:00,14.834,8.844,10.933,,
12/23/20 11:00:00,14.976,8.962,11.253,17.260,16.466
12/23/20 11:15:00,15.396,9.253,11.736,,
12/23/20 11:30:00,16.131,9.737,12.520,,
12/23/20 11:45:00,16.432,9.969,12.788,,
12/23/20 12:00:00,16.497,10.153,12.939,17.110,16.697
12/23/20 12:15:00,16.460,10.551,13.254,,
12/23/20 12:30:00,16.563,10.992,13.539,,
12/23/20 12:45:00,16.656,11.463,13.620,,
12/23/20 13:00:00,16.420,11.254,13.416,16.442,15.584
12/23/20 13:15:00,15.998,10.939,13.139,,
12/23/20 13:30:00,15.703,10.753,12.942,,
12/23/20 13:45:00,15.379,10.504,12.944,,
12/23/20 14:00:00,14.975,10.237,12.675,15.460,14.837
12/23/20 14:15:00,14.563,11.154,12.782,,
12/23/20 14:30:00,14.258,11.377,12.785,,
12/23/20 14:45:00,13.832,10.744,12.485,,
12/23/20 15:00:00,13.178,9.877,11.768,14.271,11.998
12/23/20 15:15:00,11.611,8.349,10.654,,
12/23/20 15:30:00,10.222,7.097,9.703,,
12/23/20 15:45:00,9.569,6.623,9.172,,
12/23/20 16:00:00,9.299,6.387,8.861,11.567,10.594
12/23/20 16:15:00,9.050,6.167,8.573,,
12/23/20 16:30:00,8.823,5.993,8.311,,
12/23/20 16:45:00,8.576,5.810,8.088,,
12/23/20 17:00:00,8.377,5.696,7.903,10.349,9.738
12/23/20 17:15:00,8.156,5.552,7.708,,
12/23/20 17:30:00,7.989,5.449,7.544,,
12/23/20 17:45:00,7.842,5.385,7.404,,
12/23/20 18:00:00,7.696,5.317,7.272,9.558,9.117
12/23/20 18:15:00,7.575,5.248,7.149,,
12/23/20 18:30:00,7.501,5.205,7.061,,
12/23/20 18:45:00,7.439,5.168,6.984,,
12/23/20 19:00:00,7.393,5.140,6.928,9.009,8.731
12/23/20 19:15:00,7.338,5.118,6.878,,
12/23/20 19:30:00,7.275,5.102,6.830,,
12/23/20 19:45:00,7.200,5.069,6.767,,
12/23/20 20:00:00,7.116,5.026,6.690,8.627,8.313
12/23/20 20:15:00,7.036,4.953,6.587,,
12/23/20 20:30:00,6.957,4.887,6.498,,
12/23/20 20:45:00,6.887,4.845,6.439,,
12/23/20 21:00:00,6.835,4.843,6.425,8.240,7.999
12/23/20 21:15:00,6.797,4.843,6.385,,
12/23/20 21:30:00,6.755,4.833,6.328,,
12/23/20 21:45:00,6.707,4.835,6.296,,
12/23/20 22:00:00,6.672,4.851,6.290,7.957,7.820
12/23/20 22:15:00,6.642,4.861,6.285,,
12/23/20 22:30:00,6.610,4.869,6.266,,
12/23/20 22:45:00,6.563,4.867,6.220,,
12/23/20 23:00:00,6.509,4.864,6.178,7.760,7.616
12/23/20 23:15:00,6.453,4.858,6.147,,
12/23/20 23:30:00,6.403,4.846,6.118,,
12/23/20 23:45:00,6.364,4.842,6.099,,
12/24/20 00:00:00,6.336,4.838,6.083,7.580,7.451
12/24/20 00:15:00,6.285,4.822,6.052,,
12/24/20 00:30:00,6.248,4.811,6.027,,
12/24/20 00:45:00,6.223,4.799,6.009,,
12/24/20 01:00:00,6.175,4.775,5.955,7.387,7.058
12/24/20 01:15:00,6.065,4.704,5.831,,
12/24/20 01:30:00,5.962,4.626,5.723,,
