Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ATICO CEN:Zone Mean Air Temperature [C](Hourly),ATICO E:Zone Mean Air Temperature [C](Hourly),MODULO:Zone Mean Air Temperature [C](Hourly),ATICO O:Zone Mean Air Temperature [C](Hourly) 
 12/05  03:00:00,-7.8999999999999999,-6.137609208132833,-6.91464031877981,2.908746266105014,-7.1985050619245849 
 12/05  04:00:00,-8.2625,-6.6315642953225899,-7.502579767690332,2.5850741254884288,-7.768166812820534 
 12/05  05:00:00,-7.925,-6.759101921091901,-7.7073261786931879,2.404115683495018,-7.9617047674184608 
 12/05  06:00:00,-7.200000000000001,2.556838071385492,-2.040434306697973,2.8641451829326165,-0.9669712228764135 
 12/05  07:00:00,-3.4625000000000005,13.890616336334127,5.4003878268573139,5.39319226955608,7.768404244180383 
 12/05  08:00:00,2.3499999999999998,22.760573707816559,12.727289187738894,7.301506449124648,15.110170100264242 
 12/05  09:00:00,5.85,29.422262941360438,19.32898766165895,10.326960591980756,21.247269633005418 
 12/05  10:00:00,8.224999999999998,31.920707382957806,22.381575675427699,11.858686435683899,23.673160240539749 
 12/05  11:00:00,10.512500000000001,29.6637671389054,22.421700902944577,12.296702345349117,22.715150894267209 
 12/05  12:00:00,11.7375,21.503550952946719,17.59209770743442,11.214006639129942,17.490163694447106 
 12/05  13:00:00,9.875,21.31251272943848,17.290858778761966,10.76377723159688,16.953780746098646 
 12/05  14:00:00,7.7875,23.60555494370293,18.713500066431338,11.148867989914413,17.733326135038636 
 12/05  15:00:00,8.3625,14.632838026777595,12.403517063916768,9.938985118326676,11.966100038872984 
 12/05  16:00:00,7.5,8.38042320417821,7.81391733556096,8.428536867229106,7.553628829309941 
 12/05  17:00:00,2.7249999999999998,3.974264496194448,3.8080497974077915,6.981405433861424,3.5193902306749704 
 12/05  18:00:00,0.08750000000000002,0.6845887177530287,0.48765280547457887,6.347267565811281,0.1801354175888137 
 12/05  19:00:00,-0.16250000000000004,-0.237834767044746,-0.4955198413459324,5.2517804946815949,-0.8087199526385615 
 12/05  20:00:00,-0.2625,-0.5272009870827149,-0.8325517533994328,5.021461257794918,-1.145127219961924 
 12/05  21:00:00,-0.425,-0.7023773983328504,-1.0608366484990575,4.877970397502574,-1.3694274084406566 
 12/05  22:00:00,-0.5625,-0.8742027607105907,-1.2852617493704122,4.758873196602294,-1.5878984717691818 
 12/05  23:00:00,-0.7875,-1.057346895720842,-1.5144407533563205,4.631721683794185,-1.8093571907949953 
 12/05  24:00:00,-0.9625,-1.249985576603717,-1.7530422378086832,4.500147995742925,-2.0390681285333378 
 12/06  01:00:00,-1.125,-1.4202520327780944,-1.9625322951319882,4.3668672699687669,-2.238254765080863 
 12/06  02:00:00,-1.2,-1.5532247931104389,-2.135888110337173,4.237423863233072,-2.4004585876330797 
