Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ATICO CEN:Zone Mean Air Temperature [C](Hourly),ATICO E:Zone Mean Air Temperature [C](Hourly),MODULO:Zone Mean Air Temperature [C](Hourly),ATICO O:Zone Mean Air Temperature [C](Hourly),ATICO CEN:Zone Air System Sensible Heating Energy [J](Hourly),ATICO E:Zone Air System Sensible Heating Energy [J](Hourly),MODULO:Zone Air System Sensible Heating Energy [J](Hourly),ATICO O:Zone Air System Sensible Heating Energy [J](Hourly) 
 07/09  17:00:00,7.675,10.884938634992502,8.544307897396778,12.299996142099336,8.062939068925854,0.0,0.0,1434147.226939327,0.0 
 07/09  18:00:00,4.325,8.720381480522232,4.956169992665719,12.299999973989971,4.672455629018934,0.0,0.0,1882219.796066478,0.0 
 07/09  19:00:00,2.5249999999999996,6.999001623665132,2.8463311969757258,12.299989783683257,2.5609320446230336,0.0,0.0,1996061.9906758967,0.0 
 07/09  20:00:00,1.925,5.7971153990096,1.798297015311333,12.299987273713727,1.5014713011002595,0.0,0.0,1970222.1192388982,0.0 
 07/09  21:00:00,0.8875,4.317575493415793,0.6876775681648625,12.299999999747103,0.38020317293976649,0.0,0.0,1931028.5036782814,0.0 
 07/09  22:00:00,-0.35000000000000006,3.1617016100392596,-0.40554208331677357,12.300000000000168,-0.7144058487251025,0.0,0.0,1955844.8154180723,0.0 
 07/09  23:00:00,-0.925,2.666236399995856,-1.101221103160749,12.30000000000017,-1.4040170390373868,0.0,0.0,1996565.8393290924,0.0 
 07/09  24:00:00,-1.1875,2.0972401570096275,-1.4904203303486446,12.300000000000124,-1.7857286156257089,0.0,0.0,1979174.467538168,0.0 
 07/10  01:00:00,-1.1125,1.8866461376909252,-1.7185176843178348,12.300000000000097,-2.006900036928073,0.0,0.0,1982858.0164708873,0.0 
 07/10  02:00:00,-1.625,1.5935859765312198,-2.0116163784619829,12.300000000000122,-2.291381525518802,0.0,0.0,1993190.0551592643,0.0 
 07/10  03:00:00,-3.125,0.8068161762730765,-3.01132915767065,12.300494412266266,-3.2858249598285935,0.0,0.0,2053927.7158239668,0.0 
 07/10  04:00:00,-4.612499999999999,0.0019687484561433518,-4.165571713171384,12.300000408473482,-4.431038603753532,0.0,0.0,2156768.168290524,0.0 
 07/10  05:00:00,-5.85,-0.5743619284724408,-5.0363966253282579,12.300000000001385,-5.287178835834849,0.0,0.0,2265728.994903149,0.0 
 07/10  06:00:00,-7.112499999999999,-1.1391545927239997,-5.932355007693042,12.300000000000198,-6.1704798971207,0.0,0.0,2379342.923852994,0.0 
