date,To,Ig,RH,P,WS,WD
2023-04-04 08:00:00,4.7,574.0,94.0,29.836,0.0,0.0
2023-04-04 09:00:00,7.9,842.0,70.0,29.815,1.0,315.0
2023-04-04 10:00:00,10.2,948.0,50.0,29.794,3.0,45.0
2023-04-04 11:00:00,12.4,1001.0,45.0,29.757,3.0,315.0
2023-04-04 12:00:00,11.8,658.0,42.0,29.736,3.0,45.0
2023-04-04 13:00:00,11.4,285.0,49.0,29.723,9.0,45.0
2023-04-04 14:00:00,11.8,622.0,47.0,29.706,14.0,45.0
2023-04-04 15:00:00,9.5,425.0,53.0,29.719,17.0,45.0
2023-04-04 16:00:00,7.3,131.0,60.0,29.722,15.0,45.0
2023-04-04 17:00:00,4.8,5.0,66.0,29.752,10.0,67.5
2023-04-04 18:00:00,3.4,0.0,78.0,29.796,6.0,67.5
2023-04-04 19:00:00,2.6,0.0,78.0,29.829,3.0,90.0
2023-04-04 20:00:00,1.1,0.0,83.0,29.837,2.0,90.0
2023-04-04 21:00:00,1.2,0.0,79.0,29.827,2.0,67.5
2023-04-04 22:00:00,0.7,0.0,80.0,29.833,2.0,67.5
2023-04-04 23:00:00,-0.3,0.0,82.0,29.843,2.0,0.0
2023-04-05 00:00:00,-0.8,0.0,84.0,29.83,2.0,315.0
2023-04-05 01:00:00,-0.8,0.0,81.0,29.813,3.0,0.0
2023-04-05 02:00:00,-1.9,0.0,82.0,29.8,1.0,315.0
2023-04-05 03:00:00,-2.1,0.0,81.0,29.797,1.0,337.5
2023-04-05 04:00:00,-2.3,0.0,81.0,29.8,1.0,0.0
2023-04-05 05:00:00,-3.1,11.0,86.0,29.837,0.0,292.5
2023-04-05 06:00:00,0.9,194.0,77.0,29.856,0.0,292.5
2023-04-05 07:00:00,4.3,455.0,58.0,29.843,1.0,270.0
2023-04-05 08:00:00,5.8,609.0,49.0,29.845,2.0,90.0
2023-04-05 09:00:00,9.4,820.0,37.0,29.828,1.0,67.5
2023-04-05 10:00:00,11.2,935.0,34.0,29.784,2.0,315.0
2023-04-05 11:00:00,11.5,955.0,30.0,29.761,5.0,45.0
2023-04-05 12:00:00,12.0,915.0,28.0,29.735,8.0,67.5
2023-04-05 13:00:00,12.2,821.0,30.0,29.709,11.0,45.0
2023-04-05 14:00:00,10.9,623.0,32.0,29.691,15.0,45.0
2023-04-05 15:00:00,8.1,311.0,43.0,29.697,19.0,45.0
2023-04-05 16:00:00,5.2,76.0,57.0,29.738,18.0,45.0
2023-04-05 17:00:00,3.7,2.0,63.0,29.776,11.0,45.0
2023-04-05 18:00:00,2.9,0.0,57.0,29.794,8.0,45.0
2023-04-05 19:00:00,2.0,0.0,67.0,29.833,5.0,67.5
2023-04-05 20:00:00,1.3,0.0,69.0,29.836,4.0,67.5
2023-04-05 21:00:00,0.6,0.0,71.0,29.829,3.0,67.5
2023-04-05 22:00:00,0.4,0.0,71.0,29.82,2.0,67.5
2023-04-05 23:00:00,0.2,0.0,68.0,29.811,3.0,67.5
2023-04-06 00:00:00,-0.7,0.0,75.0,29.796,1.0,67.5
2023-04-06 01:00:00,1.1,0.0,61.0,29.777,3.0,45.0
2023-04-06 02:00:00,1.0,0.0,62.0,29.776,0.0,22.5
2023-04-06 03:00:00,-0.2,0.0,72.0,29.769,0.0,225.0
2023-04-06 04:00:00,-1.3,0.0,75.0,29.784,1.0,270.0
2023-04-06 05:00:00,-1.8,5.0,78.0,29.815,1.0,292.5
2023-04-06 06:00:00,1.7,173.0,76.0,29.832,1.0,292.5
2023-04-06 07:00:00,5.3,449.0,56.0,29.813,1.0,315.0
2023-04-06 08:00:00,6.9,673.0,43.0,29.83,1.0,180.0
2023-04-06 09:00:00,8.9,839.0,36.0,29.813,2.0,67.5
2023-04-06 10:00:00,10.4,944.0,32.0,29.795,3.0,67.5
2023-04-06 11:00:00,11.3,972.0,32.0,29.763,7.0,135.0
2023-04-06 12:00:00,12.9,924.0,31.0,29.735,8.0,90.0
2023-04-06 13:00:00,12.8,793.0,27.0,29.709,8.0,67.5
2023-04-06 14:00:00,12.2,633.0,27.0,29.702,13.0,45.0
2023-04-06 15:00:00,11.2,404.0,28.0,29.711,15.0,45.0
2023-04-06 16:00:00,8.4,139.0,26.0,29.73,17.0,45.0
2023-04-06 17:00:00,5.4,4.0,30.0,29.749,11.0,45.0
2023-04-06 18:00:00,3.6,0.0,42.0,29.797,6.0,90.0
2023-04-06 19:00:00,3.0,0.0,47.0,29.835,3.0,90.0
2023-04-06 20:00:00,1.9,0.0,53.0,29.846,2.0,90.0
2023-04-06 21:00:00,2.2,0.0,47.0,29.833,1.0,67.5
2023-04-06 22:00:00,0.9,0.0,54.0,29.812,1.0,337.5
2023-04-06 23:00:00,-2.4,0.0,75.0,29.795,2.0,337.5
2023-04-07 00:00:00,-1.8,0.0,68.0,29.787,3.0,315.0
2023-04-07 01:00:00,-3.0,0.0,74.0,29.78,2.0,315.0
2023-04-07 02:00:00,-2.9,0.0,74.0,29.78,2.0,315.0
2023-04-07 03:00:00,-2.8,0.0,67.0,29.783,4.0,337.5
2023-04-07 04:00:00,-3.9,0.0,75.0,29.803,4.0,315.0
2023-04-07 05:00:00,-3.2,10.0,72.0,29.831,2.0,315.0
2023-04-07 06:00:00,0.4,185.0,62.0,29.855,4.0,315.0
2023-04-07 07:00:00,4.9,451.0,47.0,29.864,2.0,315.0
2023-04-07 08:00:00,9.8,671.0,29.0,29.864,0.0,157.5
2023-04-07 09:00:00,10.6,845.0,32.0,29.856,2.0,135.0
2023-04-07 10:00:00,11.7,943.0,28.0,29.83,4.0,90.0
2023-04-07 11:00:00,13.4,977.0,21.0,29.812,5.0,67.5
2023-04-07 12:00:00,14.6,929.0,22.0,29.768,6.0,90.0
2023-04-07 13:00:00,14.9,812.0,15.0,29.735,7.0,67.5
2023-04-07 14:00:00,14.3,631.0,23.0,29.729,11.0,45.0
2023-04-07 15:00:00,13.2,403.0,24.0,29.714,13.0,45.0
2023-04-07 16:00:00,10.0,138.0,32.0,29.74,18.0,45.0
2023-04-07 17:00:00,6.3,3.0,40.0,29.764,14.0,45.0
