Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ATICO CEN:Zone Mean Air Temperature [C](Hourly),ATICO E:Zone Mean Air Temperature [C](Hourly),MODULO:Zone Mean Air Temperature [C](Hourly),ATICO O:Zone Mean Air Temperature [C](Hourly) 
 08/22  06:00:00,-13.874999999999999,-8.912393920537266,-12.317591110413892,2.304252078992832,-12.569468374210399 
 08/22  07:00:00,-14.15,-4.006639578351647,-6.215439426885098,2.4828412263355474,-5.899656863168416 
 08/22  08:00:00,-9.5,8.393518476089877,5.325235988315882,3.4571852388996575,7.609805353199054 
 08/22  09:00:00,-2.3,22.012651797067325,18.391868436862866,5.362112475512259,22.22931822696223 
 08/22  10:00:00,4.3999999999999999,30.233424155091265,28.260023007943397,7.288175182900815,32.25931197669871 
 08/22  11:00:00,8.237499999999999,31.484464029476773,32.365908426792127,8.787871808463614,35.175426910672857 
 08/22  12:00:00,10.0375,28.836140774050265,33.01404644335909,9.941355129265949,34.30451728234204 
 08/22  13:00:00,11.225,26.870471214323886,32.6086088234176,10.982443706915295,32.71494930080709 
 08/22  14:00:00,11.9125,25.231436433377234,31.109184977353928,11.27604659325097,30.359839918267519 
 08/22  15:00:00,11.912500000000002,21.637380147427309,26.48100539671994,10.829520577039683,24.68007056057592 
 08/22  16:00:00,11.1125,16.80687104077645,20.840207351038424,9.980472640139265,18.734128232162829 
 08/22  17:00:00,8.95,9.658719320964611,11.169736187259258,8.224086423351352,10.137527868419142 
 08/22  18:00:00,5.15,5.8219999126256349,5.412008404284694,6.546226856320444,4.970644115753415 
 08/22  19:00:00,1.4375000000000003,3.1151984060560675,1.6168637203115717,5.330166859293495,1.2406105879526508 
 08/22  20:00:00,-1.4875,1.4113587671585042,-0.9497871795616024,4.42635058261626,-1.3173661379911342 
 08/22  21:00:00,-2.8125,0.07948755066342878,-2.560133550831128,4.015744570392465,-2.921363934592891 
 08/22  22:00:00,-3.8125,-2.0428964624868626,-3.816951179357484,4.148935368092578,-4.179185283998016 
 08/22  23:00:00,-4.925,-3.5389920164697568,-5.162856451575003,4.0926553188736769,-5.525335938983554 
 08/22  24:00:00,-6.675,-4.427307173263362,-6.3075343217787769,3.8683856630496078,-6.655134071460366 
 08/23  01:00:00,-8.375,-5.330641879209913,-7.566346839378746,3.5701548724199418,-7.894332491966626 
 08/23  02:00:00,-10.649999999999999,-6.528663954064834,-9.023282580396496,3.271430905605702,-9.333627155096967 
 08/23  03:00:00,-12.2,-7.622702854130937,-10.523827084119944,2.909282095787928,-10.82103237264796 
 08/23  04:00:00,-13.062499999999999,-8.324020729366357,-11.407854059325686,2.626630849653482,-11.69107739102384 
 08/23  05:00:00,-13.4625,-8.701048637790063,-12.023096674414969,2.3416143584498556,-12.293448537958023 
 08/23  06:00:00,-13.6875,-8.82875081362853,-12.354143166944163,2.0439836954178927,-12.610093251472702 
 08/23  07:00:00,-13.8625,-3.727428323263641,-6.0688147185075629,2.2282288693501837,-5.751987368441069 
 08/23  08:00:00,-9.2125,8.664317015596219,5.613176163214885,3.229855854353986,7.841053291636406 
 08/23  09:00:00,-1.5250000000000004,21.755665652625539,17.92631694635925,5.090633846286872,21.757564495703585 
 08/23  10:00:00,5.15,29.72586287285196,27.173873622640845,7.098926970855656,31.073811016195746 
 08/23  11:00:00,8.7125,33.435162777819908,33.959687956742808,9.003832005486274,36.555256838244847 
 08/23  12:00:00,10.1875,33.01920080091578,36.08363522319628,10.459402482756673,37.23567960660675 
 08/23  13:00:00,11.1625,30.258278246882676,35.345303798660939,11.378928985878574,35.44402927270099 
 08/23  14:00:00,12.062499999999999,29.988325810029538,33.99873180886337,11.771629564643535,33.34246389034428 
 08/23  15:00:00,12.15,28.315987051040616,30.789740830506479,11.372729352332538,29.047111765024238 
