Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ATICO CEN:Zone Mean Air Temperature [C](Hourly),ATICO E:Zone Mean Air Temperature [C](Hourly),MODULO:Zone Mean Air Temperature [C](Hourly),ATICO O:Zone Mean Air Temperature [C](Hourly) 
 10/12  04:00:00,-6.825000000000001,-6.527425826354372,-7.168705103251506,2.249231862286284,-7.420044138862917 
 10/12  05:00:00,-7.4625,-7.052357455774817,-7.739156494158619,1.9478001615059973,-7.978989343500334 
 10/12  06:00:00,-8.8625,-1.4307104666288713,-3.1695230572692059,1.8040772754289159,-2.6496037103102045 
 10/12  07:00:00,-5.6875,13.575216161238297,9.332243194280388,4.412999293146524,11.305644786732856 
 10/12  08:00:00,-0.08750000000000002,28.791730303135976,21.811808380764608,6.773167739250953,24.919597100432399 
 10/12  09:00:00,3.9,37.56419120964069,29.292894509057214,10.592776045166554,32.79289111451024 
 10/12  10:00:00,6.6,40.866617759415039,33.87494666244135,12.600978164690766,36.77606861406419 
 10/12  11:00:00,8.5625,39.10136423183492,33.920544101370797,13.915663384622127,35.44324768856647 
 10/12  12:00:00,9.8875,37.62442787639053,35.85914736304399,14.897024590005252,36.020724119406199 
 10/12  13:00:00,10.675,37.32212808376224,35.07996534449369,15.330545204513852,34.227893571356307 
 10/12  14:00:00,10.7125,37.32438059036219,34.25339410110682,15.15141138574078,31.503330863297728 
 10/12  15:00:00,10.037499999999998,34.86968164655077,31.210167203482528,14.41481796688936,27.333880260313259 
 10/12  16:00:00,8.825,26.098289699787239,23.416108841315926,12.826473778384214,20.062821664528266 
 10/12  17:00:00,7.3,12.114066443627351,11.672540140570805,10.197505117866708,10.324686404956525 
 10/12  18:00:00,4.325,4.820120866756291,5.377738118457622,8.28885975934981,4.840542913915942 
 10/12  19:00:00,0.7124999999999999,1.250704332455199,1.766949167155413,6.281556425504318,1.328475923162292 
 10/12  20:00:00,-2.1,-1.3299419108912443,-0.9576778708103637,5.181237556129491,-1.3796054867194383 
 10/12  21:00:00,-3.625,-2.7830586862841097,-2.644339957698459,4.465465444506498,-3.0492837623901338 
